s,d_s,theta_1,d_theta_1,u,time,T
0.0,0.0,3.141592653589793,0.0,0.0,0.0,-1.0232532075502831e-18
0.0,0.0,-3.141592653589793,2.2840019696299726e-17,0.0,0.005,1.0271303552747294e-18
0.0,0.0,-3.141592653589793,-8.654175695556178e-20,0.0,0.01,1.0232385168809882e-18
0.0,0.0,-3.141592653589793,-2.2926233543043448e-17,0.0,0.015,1.0193614248200813e-18
0.0,0.0,-3.141592653589793,-4.5679384814640814e-17,0.0,0.02,1.015499023217558e-18
0.0,0.0,-3.141592653589793,-6.834632347725174e-17,0.0,0.025,1.0116512564106782e-18
0.0,0.0,-3.141592653589793,-9.092737619393311e-17,0.0,0.030000000000000002,1.0078180689476102e-18
0.0,0.0,-3.141592653589793,-1.1342286839000232e-16,0.0,0.035,1.0039994055866319e-18
0.0,0.0,-3.141592653589793,-1.3583312425772706e-16,0.0,0.04,1.0001952112953334e-18
0.0,0.0,-3.141592653589793,-1.5815846676099744e-16,0.0,0.045,9.964054312498259e-19
0.0,0.0,-3.141592653589793,-1.8039921763998036e-16,0.0,0.049999999999999996,9.926300108339497e-19
0.0,0.0,-3.141592653589793,-2.025556974157562e-16,0.0,0.05499999999999999,9.888688956384887e-19
0.0,0.0,-3.141592653589793,-2.2462822539493807e-16,0.0,0.05999999999999999,9.851220314603843e-19
0.0,0.0,-3.141592653589793,-2.4661711967427344e-16,0.0,0.06499999999999999,9.813893643019572e-19
0.0,0.0,-3.141592653589793,-2.685226971452283e-16,0.0,0.06999999999999999,9.776708403701256e-19
0.0,0.0,-3.141592653589793,-2.9034527349855407e-16,0.0,0.075,9.739664060756335e-19
0.0,0.0,-3.141592653589793,-3.1208516322883726e-16,0.0,0.08,9.702760080322755e-19
0.0,0.0,-3.141592653589793,-3.337426796390316e-16,0.0,0.085,9.665995930561299e-19
0.0,0.0,-3.141592653589793,-3.553181348449733e-16,0.0,0.09000000000000001,9.629371081647899e-19
0.0,0.0,-3.141592653589793,-3.768118397798791e-16,0.0,0.09500000000000001,9.592885005766017e-19
0.0,0.0,-3.141592653589793,-3.9822410419882714e-16,0.0,0.10000000000000002,9.556537177099031e-19
0.0,0.0,-3.141592653589793,-4.195552366832212e-16,0.0,0.10500000000000002,9.520327071822667e-19
0.0,0.0,-3.141592653589793,-4.408055446452375e-16,0.0,0.11000000000000003,9.484254168097432e-19
0.0,0.0,-3.141592653589793,-4.619753343322552e-16,0.0,0.11500000000000003,9.448317946061105e-19
0.0,0.0,-3.141592653589793,-4.830649108312698e-16,0.0,0.12000000000000004,9.412517887821256e-19
0.0,0.0,-3.141592653589793,-5.040745780732898e-16,0.0,0.12500000000000003,9.376853477447755e-19
0.0,0.0,-3.141592653589793,-5.250046388377168e-16,0.0,0.13000000000000003,9.341324200965359e-19
0.0,0.0,-3.141592653589793,-5.458553947567092e-16,0.0,0.13500000000000004,9.3059295463463e-19
0.0,0.0,-3.141592653589793,-5.666271463195287e-16,0.0,0.14000000000000004,9.2706690035029e-19
0.0,0.0,-3.141592653589793,-5.873201928768713e-16,0.0,0.14500000000000005,9.235542064280227e-19
0.0,0.0,-3.141592653589793,-6.07934832645181e-16,0.0,0.15000000000000005,9.200548222448764e-19
0.0,0.0,-3.141592653589793,-6.284713627109476e-16,0.0,0.15500000000000005,9.165686973697124e-19
0.0,0.0,-3.141592653589793,-6.489300790349883e-16,0.0,0.16000000000000006,9.130957815624773e-19
0.0,0.0,-3.141592653589793,-6.693112764567128e-16,0.0,0.16500000000000006,9.096360247734789e-19
