s,d_s,theta_1,d_theta_1,theta_2,d_theta_2,u,time,T,desired_s,error_s,desired_d_s,error_d_s,desired_theta_1,error_theta_1,desired_d_theta_1,error_d_theta_1,desired_theta_2,error_theta_2,desired_d_theta_2,error_d_theta_2,desired_u
-0.15574113365811015,0.0,-0.02332896937536668,0.0,-0.12781454780044735,0.0,0.0,0.0,-0.0018421037518773623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0,,3.141592653589793,,0.0,0.9126904000004288,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.0,-566.5930786132812,3.141592653589793,-586.9353637695312,0.0,1.0730670999910217,0.04368265948824619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1385247707366943,0.0,-3.136990873021535,0.0,0.0,1.0746325999789406,0.0002854326063896541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.140058755874634,0.3070426881313324,-3.1385248581594745,0.3070426881313324,0.0,1.079502099979436,0.00016394434400552043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1385247707366943,-0.30691981315612793,-3.136990873021535,-0.30691981315612793,0.0,1.0894011999771465,0.0002622771836842763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.140058755874634,0.306797057390213,-3.1385248581594745,0.306797057390213,0.0,1.0989350999880116,0.00016392499143824945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1385247707366943,0.0,-3.136990873021535,0.0,0.0,1.1084788999869488,0.0002854326063896541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1385247707366943,-0.30502790212631226,-3.136990873021535,-0.30502790212631226,0.0,1.1183972999860998,0.00026241672303725964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.140058755874634,0.0,-3.1385248581594745,0.0,0.0,1.1281822999881115,0.00014000546778332877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.140058755874634,0.3068584203720093,-3.1385248581594745,0.3068584203720093,0.0,1.1381835999782197,0.00016392982602773435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1385247707366943,-0.3062458038330078,-3.136990873021535,-0.3062458038330078,0.0,1.1479954999813344,0.00026232689121552115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.140058755874634,0.30809104442596436,-3.1385248581594745,0.30809104442596436,0.0,1.1576754999987315,0.00016402694473220024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
