s,d_s,theta_1,d_theta_1,u,time,T,desired_s,error_s,desired_d_s,error_d_s,desired_theta_1,error_theta_1,desired_d_theta_1,error_d_theta_1,desired_u
-0.0609731646528954,0.0,-0.5666394626076082,0.0,0.0,0.0,-0.0035743048058705556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.141592653589793,314.1592653589793,0.0,22.834238899871707,0.005048409444932325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,1.2271846303085088,0.0,23.00917789991945,0.00012068101607856679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.010279799811542,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.012380399741232,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.02221819991246,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.03204769990407,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.041891499888152,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.05162169993855,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.06140680005774,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.07134100003168,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.081114999949932,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.09103349992074,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.10077919997275,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.11057069990784,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.12041769991629,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.130225099856034,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.140057399868965,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.149955899920315,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.15983699983917,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.16976649989374,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.17938859993592,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.1894410001114,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.19903160003014,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.208999400259927,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.218474100343883,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.228191800415516,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.23802960035391,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.24798380024731,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.257774400059134,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.267609999980778,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.153864499892878,0.0,0.0,23.277495400048792,9.683950091737636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
