s,d_s,theta_1,d_theta_1,u,time,T,desired_s,error_s,desired_d_s,error_d_s,desired_theta_1,error_theta_1,desired_d_theta_1,error_d_theta_1,desired_u
-0.13017867537125968,0.0,-0.4058417753479433,0.0,0.0,0.0,-0.0028626081534620334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.141592653589793,314.1592653589793,0.0,3.0731401999946684,0.015145228334802356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.147728576741336,0.6135923151542766,0.0,3.2475605001673102,7.851870493307887e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.147728576741336,0.0,0.0,3.2496127001941204,4.8423396651399674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.147728576741336,0.0,0.0,3.2539418002124876,4.8423396651399674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.147728576741336,0.0,0.0,3.263745400123298,4.8423396651399674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.147728576741336,0.0,0.0,3.2736943000927567,4.8423396651399674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.147728576741336,0.0,0.0,3.2833173002582043,4.8423396651399674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.147728576741336,0.0,0.0,3.293181500164792,4.8423396651399674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.147728576741336,0.0,0.0,3.3029593001119792,4.8423396651399674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.147728576741336,0.0,0.0,3.312448200304061,4.8423396651399674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.147728576741336,0.0,0.0,3.322344300337136,4.8423396651399674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.147728576741336,0.0,0.0,3.332312000449747,4.8423396651399674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.147728576741336,0.0,0.0,3.342327900463715,4.8423396651399674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.147728576741336,0.0,0.0,3.3518808004446328,4.8423396651399674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.147728576741336,0.0,0.0,3.3615802004933357,4.8423396651399674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.147728576741336,0.0,0.0,3.371620500460267,4.8423396651399674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.147728576741336,0.0,0.0,3.3812767004128546,4.8423396651399674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.147728576741336,0.0,0.0,3.3911103005521,4.8423396651399674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
