s,d_s,theta_1,d_theta_1,u,time,T,desired_s,error_s,desired_d_s,error_d_s,desired_theta_1,error_theta_1,desired_d_theta_1,error_d_theta_1,desired_u
-0.2555274597979799,0.0,0.27355715705529066,0.0,0.0,0.0,0.0023130620497635265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.141592653589793,314.1592653589793,0.0,8.147682399954647,-2.8771428451615496e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.141592653589793,0.0,0.0,8.246399399940856,-1.0890227776398114e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-2.962116901407173,17.947575218262045,0.0,8.247643799870275,0.015244577162992176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-2.968252824558716,-0.613592315154321,0.0,8.256666299770586,0.0015261921471725983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-2.975922728498144,-0.7669903939428124,0.0,8.26667979976628,0.0014695028926876993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-2.9835926324375723,-0.7669903939428124,0.0,8.27645189978648,0.001403780523527542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-2.994330497952771,-1.073786551519884,0.0,8.286318599828519,0.0013309420124611498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.003534382680085,-1.0482202050551355,0.0,8.296294699772261,0.0012481299619781382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.0158062289831706,-1.0780476092640383,0.0,8.306139699765481,0.0011414937375715819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.0265440944983704,-1.0773374329733605,0.0,8.316082899807952,0.0010457746190507976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.038815940801455,-1.1023119658625442,0.0,8.326138099771924,0.0009371878674358774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.0510877871045405,-1.1231240766035455,0.0,8.335993599845096,0.0008275591363608477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.064893614195511,-1.1660338486857953,0.0,8.345895399805158,0.0007041677707200821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.072563518134939,-1.0995266062286315,0.0,8.355740299797617,0.0006317386152863158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.0940392491653386,-1.2742010223638507,0.0,8.365935299894772,0.00044059816429765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.0940392491653386,-1.061834185303209,0.0,8.375752899912186,0.0004349867747806895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1216509033472795,-1.345056057451689,0.0,8.385599399916828,0.0001858701542035542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1369907112261366,-1.3765435125240264,0.0,8.39549919986166,4.2997347471655685e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.132388768862479,-1.3772167119528669,0.0,8.405380199896172,-8.599524438276101e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.124718864923051,-1.275512325617858,0.0,8.41535909997765,-0.00015655448171444854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.104777114680538,-1.3952894420567687,0.0,8.425306600052863,-0.0003441390566448461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0971072107411097,-1.2905729340377763,0.0,8.435190699994564,-0.0004126920245253217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.084835364438024,-1.2800082167495723,0.0,8.445159599999897,-0.0005257492501646785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0710295373470538,-1.296770632140818,0.0,8.455109999980778,-0.0006536166696982002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.052621767892426,-1.3874383510278125,0.0,8.465048999991268,-0.0008277085257494992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0464858447408836,-1.2584640117155492,0.0,8.474982600077055,-0.000876437831148653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.034213998437798,-1.25325078148105,0.0,8.485025300062262,-0.0009876006003941775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.018874190558942,-1.3000391158818125,0.0,8.49490750010591,-0.001129584911851446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.009670305831628,-1.236764008690076,0.0,8.50486480013933,-0.0012074378396729959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.000466421104314,-1.1840347526969623,0.0,8.514861800242215,-0.0012852969792501478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.997398459528543,-1.037828320176988,0.0,8.524785100249574,-0.0013013816189897287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.9866605940133435,-1.0438213587341447,0.0,8.534702000208199,-0.001395806054961527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.9805246708618007,-0.9721165181375001,0.0,8.544679500279017,-0.0014437228011977164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.9759227284981438,-0.8867961378421995,0.0,8.554630700265989,-0.0014772778625172505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.971320786134487,-0.8156958209294488,0.0,8.564563500345685,-0.00151188141141281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.9697868053466014,-0.7053128639059634,0.0,8.574620400322601,-0.0015181413780037773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.9682528245587156,-0.6133270663863996,0.0,8.584607400232926,-0.0015261787911500582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.96671884377083,-0.5366722351200963,0.0,8.594412100152113,-0.0015354868369187675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.96671884377083,-0.4472268626000802,0.0,8.604407200124115,-0.0015318434621469517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.9682528245587156,-0.3471227057019701,0.0,8.614411800168455,-0.0015156858420949052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.971320786134487,-0.2381362284887891,0.0,8.624260400189087,-0.0014873401469674822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.9759227284981438,-0.1217478176797082,0.0,8.634207000257447,-0.0014469999926325953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.9820586516496865,0.000808871125955922,0.0,8.644166000187397,-0.0013947146496420789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.988194574801229,0.10293944513066866,0.0,8.654087900184095,-0.0013431861415164146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.9943304979527716,0.18804825680127,0.0,8.66416750010103,-0.001291919551117404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0035343826800855,0.31010495945629046,0.0,8.674108900129795,-0.0012152980426871779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.012738267407399,0.41181887833546665,0.0,8.684032800141722,-0.0011383878380876752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.021942152134713,0.4965804774014544,0.0,8.693739000125788,-0.0010608755956567982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0326800176499127,0.5927814897545406,0.0,8.703693300136365,-0.0009699583562524563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.043417883165112,0.6729490000487718,0.0,8.713708800147288,-0.0008779869739639879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0541557486803117,0.7397552586273052,0.0,8.723745100083761,-0.0007849509174743489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.066427594983397,0.820993487240839,0.0,8.733607400092296,-0.0006779380508496593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0802334220743677,0.914258357550214,0.0,8.743491400033236,-0.0005564676688871684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0925052683774528,0.9664127363432632,0.0,8.753358499961905,-0.00044671549146078394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.106311095468423,1.03544106513556,0.0,8.763389999978244,-0.0003224815867997976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.120116922559394,1.0929646724624813,0.0,8.773331700009294,-0.00019701919049132114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.133922749650365,1.1409010119015828,0.0,8.783297400106676,-7.057786834559045e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1369907112261366,1.1552816149694005,0.0,8.793106300057843,4.238391552081284e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1231848841351653,1.1928317973240226,0.0,8.803040000027977,0.00016988687250292625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.109379057044195,1.2241236159528597,0.0,8.812989400001243,0.0002977469562290299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.1017091531047667,1.147934745617852,0.0,8.823024999932386,0.0003667924251563743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.083301383650139,1.2634084455920076,0.0,8.832952099852264,0.0005393118346817159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.0694955565591684,1.282937489509514,0.0,8.84289739979431,0.000667119658037798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.057223710256083,1.273645346309354,0.0,8.85276869975496,0.000779226992636741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.046485844740883,1.2403355471777904,0.0,8.862645299755968,0.0008754142187319202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.0357479792256843,1.2125773812348057,0.0,8.872615899774246,0.0009711772218425591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.031146036862027,1.087180190423295,0.0,8.882510899798945,0.0010051836863211932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.020408171346827,1.0849479172727412,0.0,8.892508099786937,0.0011009789952918234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.0081363250437425,1.1086540361120283,0.0,8.902367099770345,0.001211641242551442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.0004664211043144,1.0517100957504923,0.0,8.912350499769673,0.0012753951688903654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-2.994330497952771,0.9786904656511304,0.0,8.922248099814169,0.0013241272977640125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-2.988194574801229,0.9178407739016473,0.0,8.93224099976942,0.0013734301281589215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-2.986660594013343,0.7904336580494694,0.0,8.94216589978896,0.0013787399624016555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-2.9820586516496865,0.7353937544354997,0.0,8.9521285998635,0.0014151572078654373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-2.978990690073915,0.6639608216257764,0.0,8.96209729986731,0.0014375749442242759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-2.977456709286029,0.5788670311529104,0.0,8.972086999914609,0.0014465410747446694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-2.975922728498144,0.5079555390921738,0.0,8.981989199994132,0.0014565432927625215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-2.975922728498144,0.42329628257681157,0.0,8.991978000034578,0.001453449557075884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-2.975922728498144,0.352746902147343,0.0,9.001962900045328,0.0014513011295157192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-2.978990690073915,0.24282305885994057,0.0,9.011866000015289,0.0014228645355654514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-2.9820586516496865,0.15121985612042374,0.0,9.021827299962752,0.001395579022476662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-2.986660594013343,0.049317507372744464,0.0,9.031764499959536,0.001355887881995565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-2.9912625363770005,-0.035601116583669726,0.0,9.04175309999846,0.0013168128390154482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-2.997398459528543,-0.1319329830120968,0.0,9.051698500057682,0.0012651486899369927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.005068363467971,-0.2377758848338827,0.0,9.061659300117753,0.0012008499440548433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.012738267407399,-0.3259783030187043,0.0,9.071684500202537,0.0011364513592017598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.020408171346827,-0.3994803181727223,0.0,9.081579500227235,0.0010717094445993234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.029612056074141,-0.48629834393250077,0.0,9.091534000239335,0.0009937770563216142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.038815940801455,-0.5586466987323161,0.0,9.101507500279695,0.0009151430402136529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.048019825528769,-0.6189369943988288,0.0,9.111457200255245,0.0008357691463917067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.0587576910439687,-0.6947452539190194,0.0,9.121419900213368,0.000742751603824148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.0710295373470533,-0.7834851499839268,0.0,9.13143530022353,0.0006357032121132294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.081767402862253,-0.8318687169066011,0.0,9.141292300191708,0.0005405754505832044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
