s,d_s,theta_1,d_theta_1,u,time,T,desired_s,error_s,desired_d_s,error_d_s,desired_theta_1,error_theta_1,desired_d_theta_1,error_d_theta_1,desired_u
-0.26350094486812486,0.0,-0.7610743535276824,0.0,0.0,0.0,-0.004441012693681876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.141592653589793,314.1592653589793,0.0,4.997544499929063,-2.8771428451615496e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,1.0737865515199283,0.0,5.0959158999612555,9.842561601712634e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.097061700071208,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.0983018999686465,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.107742200023495,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.117470600060187,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.127447700127959,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.13738670013845,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.14733050018549,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.157301000086591,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.167109300033189,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.177074700011872,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.187064900062978,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.196942400070839,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.206929600099102,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.21687120012939,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.226928500109352,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.23683280008845,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.246762600145303,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.256723100203089,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.266662900103256,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.276593100046739,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.286529300035909,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.296463300124742,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.306429900112562,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.316373100038618,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.326317100087181,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1523305191049924,0.0,0.0,5.33627500012517,9.547962141057104e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.150796538317107,-0.025566346464755973,0.0,5.346188900060952,8.18427760459292e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.150796538317107,-0.021305288720629978,0.0,5.356193200103007,8.18423386457309e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.150796538317107,-0.017754407267191647,0.0,5.366148200118914,8.18420348955932e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.150796538317107,-0.014795339389326373,0.0,5.37610310013406,8.184182395799757e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.150796538317107,-0.01232944949110531,0.0,5.386025200132281,8.184167747355615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.150796538317107,-0.010274541242587759,0.0,5.396005800110288,8.184157574824962e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.034128464166919836,0.0,5.405860400060192,6.820442309386318e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.02844038680576653,0.0,5.41586490010377,6.820377356904099e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.023700322338138777,0.0,5.4258284001844,6.820332251013669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.019750268615115647,0.0,5.435790300252847,6.820300927478648e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.016458557179263037,0.0,5.445818400243297,6.820279175023771e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.01371546431605253,0.0,5.4558153002290055,6.82026406915233e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.011429553596710442,0.0,5.4656655001454055,6.820253578963829e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.009524627997258702,0.0,5.475640400196426,6.820246294110703e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.007937189997715585,0.0,5.485573600162752,6.820241235184921e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.006614324998096321,0.0,5.495477400254458,6.820237722042016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.005511937498413601,0.0,5.505414200248197,6.820235282359446e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.004593281248678,0.0,5.515361900208518,6.820233588135437e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.0038277343738983335,0.0,5.525316100218333,6.820232411590986e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.003189778644915278,0.0,5.53529250016436,6.820231594546229e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.002658148870762732,0.0,5.545297200093046,6.820231027154038e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.002215124058968943,0.0,5.555225300136954,6.820230633131681e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.0018459367158074527,0.0,5.5651664001634344,6.820230359505045e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.0015382805965062105,0.0,5.575153200072236,6.820230169486548e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.0012819004970885087,0.0,5.58504060015548,6.820230037529257e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.0010682504142404238,0.0,5.595021000131965,6.820229945892251e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.0008902086785336866,0.0,5.604945700149983,6.820229882255441e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.0007418405654447388,0.0,5.614880100241862,6.820229838063211e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.000618200471203949,0.0,5.624855600297451,6.820229807374164e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.0005151670593366241,0.0,5.634797800332308,6.820229786062325e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.0004293058827805201,0.0,5.644781700335443,6.820229771262435e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.00035775490231710006,0.0,5.654702000319958,6.820229760984737e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.00029812908526425004,0.0,5.664655000320636,6.820229753847444e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.000248440904386875,0.0,5.674677700386383,6.820229748890991e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.0002070340869890625,0.0,5.684630300384015,6.820229745449011e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.00017252840582421877,0.0,5.6945032003568485,6.820229743058747e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.1492625575292212,-0.0001437736715201823,0.0,5.704416100401431,6.82022974139884e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.147728576741336,-0.025686157857689462,0.0,5.714371800306253,5.456357155289993e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.147728576741336,-0.021405131548074552,0.0,5.724335800274275,5.4563277211007715e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.14619459595345,-0.043403956088158835,0.0,5.734243400278501,4.0924468494926626e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
